Region,Countries Percentage after 1 Year
Ukraine,4.197630600943486
Uruguay,25.248561097359616
United States,100.0
Uzbekistan,7.825136042803281
St. Vincent and the Grenadines,1.1270991582109604
Venezuela,0.005473999526697971
British Virgin Islands,2.941706827309237
United States Virgin Islands,1.3711241680532447
Vietnam,12.047373092728042
Vanuatu,0.5477205882352941
Samoa,1.2342941396742184
Kosovo,12.69646129000591
Yemen,0.009985254691689009
South Africa,29.684004359666336
Zambia,0.3121760489962645
Zimbabwe,1.4596671500114815
